"tool","engine","n","rep","wall_s","compute_s","launch_s","load_s","startup_s","io_s","seqs_per_s","rss_gb","ok","seq_len","pkg_version"
"TmCalculator","R with a compiled C++ core",10000,1,2.954,0.493,0.246,2.185,2.431,0.03,20283.9756592292,0.350871552,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",10000,2,2.937,0.504,0.245000000000005,2.163,2.408,0.025,19841.2698412698,0.352518144,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",10000,3,2.96,0.494,0.250000000000001,2.188,2.438,0.028,20242.9149797571,0.350879744,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",30000,1,3.879,1.326,0.244999999999997,2.205,2.45,0.103,22624.4343891403,0.355766272,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",30000,2,3.84399999999999,1.329,0.247999999999994,2.165,2.41299999999999,0.102,22573.3634311512,0.35176448,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",30000,3,3.843,1.324,0.238999999999996,2.178,2.417,0.102,22658.6102719033,0.35221504,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",100000,1,7.276,4.529,0.250000000000004,2.218,2.468,0.279,22079.9293442261,0.384950272,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",100000,2,7.256,4.547,0.253000000000001,2.183,2.436,0.273,21992.5225423356,0.38961152,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",100000,3,7.265,4.516,0.267,2.207,2.474,0.275,22143.4898139947,0.389136384,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",300000,1,17.61,13.815,0.273,2.148,2.421,1.374,21715.5266015201,0.578531328,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",300000,2,16.982,13.339,0.256,2.086,2.342,1.301,22490.441562336,0.57925632,TRUE,200,"1.10.0"
"TmCalculator","R with a compiled C++ core",300000,3,17.38,13.647,0.252999999999997,2.043,2.296,1.437,21982.853374368,0.58038272,TRUE,200,"1.10.0"
"Biopython","pure Python",100,1,0.194999999999993,0.0205,0.123899999999993,0.0496,0.173499999999993,0.001,4878.0487804878,0.010354688,TRUE,200,"1.10.0"
"Biopython","pure Python",100,2,0.113,0.021,0.0554999999999995,0.036,0.0914999999999996,5e-04,4761.90476190476,0.01032192,TRUE,200,"1.10.0"
"Biopython","pure Python",100,3,0.115999999999985,0.0213,0.0558999999999854,0.0382,0.0940999999999854,6e-04,4694.83568075117,0.010289152,TRUE,200,"1.10.0"
"Biopython","pure Python",300,1,0.163000000000011,0.0628,0.0584000000000109,0.0402,0.0986000000000109,0.0016,4777.07006369427,0.010412032,TRUE,200,"1.10.0"
"Biopython","pure Python",300,2,0.15300000000002,0.0618,0.05370000000002,0.0368,0.09050000000002,7e-04,4854.36893203883,0.010354688,TRUE,200,"1.10.0"
"Biopython","pure Python",300,3,0.158999999999992,0.0625,0.0562999999999918,0.0395,0.0957999999999918,7e-04,4800,0.010366976,TRUE,200,"1.10.0"
"Biopython","pure Python",1000,1,0.305999999999983,0.2136,0.0522999999999831,0.0369,0.0891999999999831,0.0032,4681.64794007491,0.010575872,TRUE,200,"1.10.0"
"Biopython","pure Python",1000,2,0.302000000000021,0.2047,0.0559000000000209,0.0401,0.0960000000000209,0.0013,4885.19785051295,0.01073152,TRUE,200,"1.10.0"
"Biopython","pure Python",1000,3,0.317999999999984,0.2137,0.0565999999999836,0.0463,0.102899999999984,0.0014,4679.45718296678,0.01069056,TRUE,200,"1.10.0"
"Biopython","pure Python",3000,1,0.727000000000004,0.6228,0.0611000000000038,0.0379,0.0990000000000038,0.0052,4816.95568400771,0.011522048,TRUE,200,"1.10.0"
"Biopython","pure Python",3000,2,0.715000000000003,0.6207,0.0541000000000034,0.0374,0.0915000000000034,0.0028,4833.25277912035,0.01150976,TRUE,200,"1.10.0"
"Biopython","pure Python",3000,3,0.725999999999999,0.6145,0.066499999999999,0.0419,0.108399999999999,0.0031,4882.0179007323,0.011771904,TRUE,200,"1.10.0"
"Biopython","pure Python",10000,1,2.178,2.0672,0.0585999999999971,0.0409,0.0994999999999971,0.0113,4837.4613003096,0.014532608,TRUE,200,"1.10.0"
"Biopython","pure Python",10000,2,2.18299999999999,2.0701,0.0621999999999927,0.0413,0.103499999999993,0.0094,4830.68450799478,0.014471168,TRUE,200,"1.10.0"
"Biopython","pure Python",10000,3,2.17700000000002,2.0781,0.0541000000000209,0.0357,0.0898000000000209,0.0091,4812.087964968,0.014626816,TRUE,200,"1.10.0"
"Biopython","pure Python",30000,1,6.39400000000001,6.2713,0.057700000000005,0.0365,0.094200000000005,0.0285,4783.69716007845,0.024264704,TRUE,200,"1.10.0"
"Biopython","pure Python",30000,2,6.81899999999999,6.6377,0.114499999999989,0.0384,0.152899999999989,0.0284,4519.63782635552,0.024064,TRUE,200,"1.10.0"
"Biopython","pure Python",30000,3,7.36499999999998,7.1749,0.10139999999998,0.053,0.15439999999998,0.0357,4181.24294415253,0.024367104,TRUE,200,"1.10.0"
"Biopython","pure Python",100000,1,21.483,21.2312,0.0886999999999745,0.0435,0.132199999999974,0.1196,4710.04936131731,0.05578752,TRUE,200,"1.10.0"
"Biopython","pure Python",100000,2,20.902,20.6597,0.119799999999987,0.0376,0.157399999999987,0.0849,4840.34134087136,0.055304192,TRUE,200,"1.10.0"
"Biopython","pure Python",100000,3,21.498,21.2901,0.076599999999992,0.0393,0.115899999999992,0.092,4697.01880216627,0.054939648,TRUE,200,"1.10.0"
"Biopython","pure Python",300000,1,63.197,62.8029,0.0842999999999705,0.0341,0.118399999999971,0.2757,4776.84947669614,0.15003648,TRUE,200,"1.10.0"
"Biopython","pure Python",300000,2,63.715,63.2765,0.12870000000003,0.0404,0.16910000000003,0.2694,4741.0966156472,0.149929984,TRUE,200,"1.10.0"
"Biopython","pure Python",300000,3,62.101,61.6619,0.128899999999994,0.0394,0.168299999999994,0.2708,4865.24093483983,0.149950464,TRUE,200,"1.10.0"
