"tool","engine","n","rep","wall_s","compute_s","startup_s","seqs_per_s","rss_gb","ok","seq_len"
"Biopython","pure Python",3000,1,0.706000000000017,0.612,0.0940000000000173,4901.96078431373,0.011497472,TRUE,200
"Biopython","pure Python",3000,2,0.718999999999994,0.6258,0.0931999999999941,4793.86385426654,0.011481088,TRUE,200
"Biopython","pure Python",3000,3,0.744,0.6375,0.1065,4705.88235294118,0.011526144,TRUE,200
"Biopython","pure Python",10000,1,2.291,2.1752,0.115799999999997,4597.27841118058,0.014589952,TRUE,200
"Biopython","pure Python",10000,2,2.232,2.1092,0.122799999999999,4741.13407927176,0.01466368,TRUE,200
"Biopython","pure Python",10000,3,2.27200000000002,2.1473,0.12470000000002,4657.0111302566,0.014503936,TRUE,200
"Biopython","pure Python",30000,1,6.471,6.3006,0.170400000000003,4761.4512903533,0.023994368,TRUE,200
"Biopython","pure Python",30000,2,6.29499999999999,6.1609,0.134099999999988,4869.41842912562,0.023666688,TRUE,200
"Biopython","pure Python",30000,3,6.34999999999999,6.1908,0.159199999999994,4845.90036828843,0.024199168,TRUE,200
"Biopython","pure Python",100000,1,20.827,20.6417,0.185300000000026,4844.56222113489,0.055250944,TRUE,200
"Biopython","pure Python",100000,2,21.007,20.7739,0.233100000000004,4813.73261640809,0.055517184,TRUE,200
"Biopython","pure Python",100000,3,21.068,20.8269,0.241099999999985,4801.4826978571,0.0549888,TRUE,200
"Biopython","pure Python",300000,1,61.854,61.4334,0.420599999999986,4883.33707722509,0.148815872,TRUE,200
"Biopython","pure Python",300000,2,69.138,68.7127,0.425300000000036,4366.00511986867,0.14903296,TRUE,200
"Biopython","pure Python",300000,3,67.568,67.0514,0.516599999999983,4474.17951004752,0.14925824,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",100,1,6.086,5.564,0.522,17.9726815240834,0.180912128,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",100,2,6.568,5.957,0.611,16.7869733087124,0.178798592,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",100,3,5.988,5.42,0.568,18.450184501845,0.180412416,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",300,1,32.412,31.822,0.590000000000007,9.42744013575514,0.200708096,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",300,2,32.618,31.656,0.962000000000003,9.47687642153146,0.20047872,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",300,3,39.176,38.47,0.706000000000003,7.79828437743696,0.199979008,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",1000,1,254.919,253.625,1.29400000000001,3.942828979793,0.298856448,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",1000,2,250.434,249.17,1.26400000000004,4.01332423646506,0.285167616,TRUE,200
"rmelting","R calling the MELTING 5 Java engine",1000,3,250.486,249.723,0.762999999999977,4.00443691610304,0.305524736,TRUE,200
