"strategy","n_workers","n_tasks","wall_s","startup_s","wall_compute_s","work_s","balance_floor","hard_floor","speedup","efficiency","idle_s","max_rss_gb","n_windows","rep","host","cpu_model"
"dynamic",4,24,176.645,8.158,168.487,653.635,163.40875,61.866,3.87943876975671,0.969859692439177,52.9450000000016,3.547344896,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",5,24,148.992,8.237,140.755,665.614,133.1228,62.498,4.72888352101168,0.945776704202336,79.346000000001,3.868106752,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",6,24,128.949000000001,8.356,120.593000000001,680.397,113.3995,62.608,5.64209365386048,0.94034894231008,93.2970000000031,3.82615552,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",1,73,546.536,0.00100000000020373,546.535,546.473999999998,546.473999999998,11.366,0.999888387751925,0.999888387751925,0.0620000000017171,4.388683776,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",2,73,335.423999999999,8.751,326.672999999999,639.274,319.637,15.361,1.95692328414041,0.978461642070207,31.5739999999981,2.544029696,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",3,73,228.18,11.695,216.485,629.217,209.739,14.563,2.9065154629651,0.968838487655033,55.3230000000009,2.558660608,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",4,73,176.880999999999,8.136,168.744999999999,652.293,163.07325,14.979,3.8655545349492,0.966388633737299,55.2309999999976,2.671828992,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",5,73,147.115,8.18,138.935,663.292,132.6584,15.107,4.77411739302552,0.954823478605105,72.282999999999,2.517561344,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",6,73,127.184000000001,8.367,118.817000000001,676.655,112.775833333333,15.415,5.69493422658369,0.949155704430614,86.4490000000067,2.39992832,14687330,2,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",1,24,587.763000000001,0.00100000000020373,587.762000000001,587.729999999998,587.729999999998,47.7600000000002,0.999945556194509,0.999945556194509,0.033000000003085,4.525862912,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",2,24,400.077000000001,7.795,392.282000000001,557.156,278.578,55.456,1.42029458399824,0.710147291999121,242.998000000002,4.131794944,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",3,24,358.064,7.316,350.748,670.209,223.403,62.263,1.91079920626775,0.636933068755915,403.983000000001,4.142575616,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",4,24,261.232,8.167,253.065,623.436,155.859,59.665,2.46354098749333,0.615885246873333,421.492,4.150525952,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",5,24,222.952000000001,8,214.952000000001,618.263,123.6526,58.76,2.87628400759238,0.575256801518476,496.497000000006,3.786858496,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"static",6,24,198.154999999999,8.153,190.001999999999,644.357,107.392833333333,59.551,3.39131693350598,0.565219488917664,544.572999999993,3.574177792,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",1,24,573.139000000001,0.00100000000020373,573.138000000001,573.102000000003,573.102000000003,54.4549999999999,0.999937187902393,0.999937187902393,0.0369999999984429,4.566401024,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",2,24,299.478999999999,9.829,289.649999999999,564.227,282.1135,54.368,1.94796133264285,0.973980666321425,34.7309999999987,4.358893568,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",3,24,240.138000000001,8.245,231.893000000001,674.708,224.902666666667,65.909,2.90956604985919,0.969855349953064,45.7060000000025,3.87094528,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",4,24,181.968999999999,8.612,173.356999999999,669.928,167.482,65.283,3.86444158586041,0.966110396465103,57.9479999999966,3.856531456,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",5,24,146.636,8.111,138.525,661.211,132.2422,60.686,4.77322504963002,0.954645009926003,71.9690000000021,3.886026752,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"dynamic",6,24,126.213,8.142,118.071,668.839,111.473166666667,61.167,5.66471868621424,0.944119781035707,88.4389999999984,3.826171904,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",1,73,588.456,0.00100000000020373,588.455,588.395000000002,588.395000000002,11.6529999999984,0.99989803808278,0.99989803808278,0.0609999999978754,4.516528128,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",2,73,305.407999999999,7.382,298.025999999999,583.677,291.8385,13.792,1.95847677719394,0.97923838859697,27.1389999999988,2.682908672,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",3,73,240.436,8.631,231.805,676.793,225.597666666667,15.732,2.91966523586636,0.973221745288786,44.5149999999991,2.562260992,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",4,73,179.674000000001,8.349,171.325000000001,663.735,165.93375,15.237,3.87412811907192,0.96853202976798,54.9610000000035,2.373951488,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",5,73,144.314,8.106,136.208,656.049,131.2098,14.864,4.81652325854574,0.963304651709148,65.5210000000015,2.613981184,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
"segment",6,73,124.423000000001,8.142,116.281000000001,664.106,110.684333333333,15.119,5.71121679380119,0.951869465633531,82.4320000000041,2.614145024,14687330,3,"r640c28","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz"
